player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_received
Scott McTominay,MF,Manchester Utd,32,24,2129,23.7,4,1,5,4,0,0,3,0,2.1,2.1,1.7,3.8,57,118,26
Ben Mee,DF,Burnley,30,30,2693,29.9,2,0,2,2,0,0,3,0,2.3,2.3,0.3,2.6,0,54,3
Hannibal Mejbri,MF,Manchester Utd,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Benjamin Mendy,DF,Manchester City,13,11,953,10.6,2,1,3,2,0,0,2,0,0.3,0.3,0.2,0.6,13,29,74
Édouard Mendy,GK,Chelsea,31,31,2745,30.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Nampalys Mendy,MF,Leicester City,23,15,1459,16.2,0,1,1,0,0,0,5,0,0.1,0.1,0.2,0.2,16,66,3
Illan Meslier,GK,Leeds United,35,35,3150,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Milivojević,MF,Crystal Palace,31,27,2359,26.2,1,1,2,0,1,2,8,1,2.4,0.8,1.7,2.5,12,120,11
James Milner,"MF,DF",Liverpool,26,11,1070,11.9,0,1,1,0,0,0,3,0,0.4,0.4,0.8,1.2,21,100,51
Yerry Mina,DF,Everton,24,23,1937,21.5,2,0,2,2,0,0,2,0,1.6,1.6,0,1.6,9,48,2
Takumi Minamino,MF,Southampton,10,9,711,7.9,2,0,2,2,0,0,1,0,1.5,1.5,0.5,2,19,15,42
Takumi Minamino,"MF,FW",Liverpool,9,2,293,3.3,1,0,1,1,0,0,0,0,1.1,1.1,0,1.1,3,8,16
Tyrone Mings,DF,Aston Villa,36,36,3194,35.5,2,2,4,2,0,0,6,1,1.9,1.9,0.4,2.4,12,104,5
Tyrick Mitchell,DF,Crystal Palace,19,19,1710,19,1,1,2,1,0,0,1,0,0.8,0.8,0.2,1.1,15,77,30
