player,position,team,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live_ball_touches,take_ons_attempted,take_ons_succeeded,times_tackled_during_take_on,carries,total_carrying_distance,progressive_carrying_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Daniel Amartey,DF,Leicester City,572,61,286,256,33,6,572,3,1,2,301,1291,682,4,0,5,3,344
Ethan Ampadu,"DF,MF",Sheffield Utd,1374,138,516,670,202,6,1374,15,13,2,678,4063,2384,28,0,16,5,765
Joachim Andersen,DF,Fulham,2275,309,1259,944,90,25,2275,11,9,2,1304,7345,4043,13,1,10,3,1456
Elliot Anderson,MF,Newcastle Utd,2,0,0,1,1,1,2,0,0,0,1,1,0,0,0,0,0,1
Felipe Anderson,"FW,MF",West Ham,7,0,0,4,3,1,7,0,0,0,6,78,51,1,0,0,0,6
Michail Antonio,FW,West Ham,783,11,34,299,460,120,783,87,43,44,473,2817,1365,31,25,78,49,638
Alphonse Areola,GK,Fulham,1101,972,1096,5,0,0,1101,0,0,0,574,2982,1600,0,0,1,0,414
Stuart Armstrong,MF,Southampton,1669,38,234,946,512,53,1669,106,68,38,985,7033,3521,75,10,77,68,1132
Kepa Arrizabalaga,GK,Chelsea,258,233,255,3,0,0,258,0,0,0,145,605,379,0,0,2,0,149
Pierre-Emerick Aubameyang,FW,Arsenal,887,19,113,345,437,119,885,25,12,13,527,3138,1697,29,28,39,19,703
Serge Aurier,DF,Tottenham,1221,78,416,555,264,25,1221,32,17,15,558,2181,1129,16,5,29,13,678
Charlie Austin,"FW,MF",West Brom,55,4,8,22,26,4,55,2,1,1,22,101,51,2,1,4,2,36
Jordan Ayew,"FW,MF",Crystal Palace,973,17,137,476,381,57,973,89,52,37,585,3988,1762,32,14,82,60,711
Luke Ayling,DF,Leeds United,3219,236,1348,1400,498,68,3219,59,41,18,1818,11724,7382,39,6,55,21,2030
César Azpilicueta,DF,Chelsea,2302,113,813,1056,447,38,2302,14,6,8,1154,5118,2985,35,2,17,6,1603
Eric Bailly,DF,Manchester Utd,652,92,339,304,14,4,652,4,4,0,429,2480,1331,5,0,7,0,424
Fabián Balbuena,DF,West Ham,632,93,321,294,23,10,632,2,1,1,286,1263,610,1,0,3,0,334
George Baldock,DF,Sheffield Utd,1443,95,389,502,569,45,1443,33,17,16,656,4130,1969,47,9,33,20,772
Gareth Bale,FW,Tottenham,564,19,79,251,242,41,564,49,27,22,316,2345,1001,21,12,17,7,391
Patrick Bamford,FW,Leeds United,850,47,82,384,394,163,848,40,19,21,388,1801,700,16,20,81,21,556
Phil Bardsley,DF,Burnley,196,12,58,102,38,1,196,4,3,1,72,335,183,6,0,1,1,92
Ross Barkley,MF,Aston Villa,945,18,114,416,428,53,945,43,29,11,507,2834,1398,26,12,38,32,655
Ross Barkley,"FW,MF",Chelsea,32,1,7,18,8,0,32,1,1,0,18,132,69,2,0,2,1,26
Ashley Barnes,FW,Burnley,489,11,41,208,241,66,488,2,1,1,250,813,332,9,4,44,21,378
