player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_received
Sam Greenwood,"MF,FW",Leeds United,18,3,424,4.7,1,2,3,1,0,0,1,0,0.7,0.7,1.1,1.8,7,15,10
Pascal Groß,"MF,DF",Brighton,37,37,3239,36,9,8,17,9,0,0,6,0,5.4,5.4,10.9,16.3,62,255,209
Vicente Guaita,GK,Crystal Palace,27,27,2430,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Gonçalo Guedes,"FW,MF",Wolves,13,8,707,7.9,1,1,2,1,0,0,1,0,1.2,1.2,0.5,1.7,20,16,54
Marc Guéhi,DF,Crystal Palace,37,37,3329,37,1,0,1,1,0,0,8,0,1.5,1.5,0.5,1.9,17,106,3
Bruno Guimarães,MF,Newcastle Utd,32,32,2726,30.3,4,5,9,4,0,0,7,0,2.8,2.8,4,6.8,41,222,42
İlkay Gündoğan,MF,Manchester City,31,27,2353,26.1,8,4,12,8,0,1,0,0,7.5,6.7,3.3,10,53,170,124
Darko Gyabi,FW,Leeds United,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,2,0
Erling Haaland,FW,Manchester City,35,33,2769,30.8,36,8,44,29,7,7,5,0,28.4,23,5.3,28.3,35,58,151
Lewis Hall,DF,Chelsea,9,8,654,7.3,0,0,0,0,0,0,1,0,0.9,0.9,2.2,3.1,19,25,40
Luke Harris,"MF,FW",Fulham,3,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jack Harrison,"FW,MF",Leeds United,36,34,2708,30.1,5,7,12,5,0,0,2,0,4.7,4.7,5.1,9.8,103,103,255
Kai Havertz,"FW,MF",Chelsea,35,30,2569,28.5,7,1,8,6,1,1,5,0,11.6,10.8,3.8,14.6,59,89,218
Jan Paul van Hecke,DF,Brighton,8,3,295,3.3,0,0,0,0,0,0,2,0,0.6,0.6,0,0.6,3,21,0
Hwang Hee-chan,"FW,MF",Wolves,27,12,1130,12.6,3,1,4,3,0,0,1,0,2.9,2.9,1.1,4,25,30,60
Dean Henderson,GK,Nott'ham Forest,18,18,1620,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Jordan Henderson,MF,Liverpool,35,23,2074,23,0,2,2,0,0,0,2,0,1.4,1.4,3.2,4.5,37,189,90
Wayne Hennessey,GK,Nott'ham Forest,4,3,271,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rico Henry,DF,Brentford,37,37,3238,36,0,2,2,0,0,0,4,0,1.6,1.6,2.7,4.2,55,107,111
Son Heung-min,"MF,FW",Tottenham,36,33,2888,32.1,10,6,16,10,0,0,2,0,10.1,10.1,6.5,16.6,82,79,196
Aaron Hickey,DF,Brentford,26,23,1916,21.3,0,1,1,0,0,0,7,0,0.4,0.4,0.4,0.8,41,81,47
Jack Hinshelwood,FW,Brighton,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Joseph Hodge,MF,Wolves,6,1,175,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.3,1,8,5
Rob Holding,DF,Arsenal,14,6,566,6.3,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,3,24,2
Mason Holgate,DF,Everton,8,5,507,5.6,0,0,0,0,0,0,3,1,1,1,0.4,1.4,4,14,5
Will Hughes,MF,Crystal Palace,27,7,842,9.4,1,1,2,1,0,0,4,0,0.3,0.3,0.9,1.2,14,32,23
Omari Hutchinson,FW,Chelsea,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Pierre Højbjerg,MF,Tottenham,35,35,3131,34.8,4,5,9,4,0,0,5,0,2,2,3.1,5.1,46,235,66
Kelechi Iheanacho,"FW,MF",Leicester City,28,11,1127,12.5,5,5,10,4,1,1,0,0,7.1,6.3,4,10.4,33,27,99
Danny Ings,FW,West Ham,17,7,775,8.6,2,2,4,2,0,0,1,0,3,3,1,4,9,12,44
Danny Ings,FW,Aston Villa,18,8,824,9.2,6,0,6,4,2,2,3,0,5.3,3.8,1.2,5,15,12,46
Alexander Isak,FW,Newcastle Utd,22,17,1522,16.9,10,1,11,8,2,2,3,0,8.2,6.7,2.2,8.9,41,48,122
Daniel Iversen,GK,Leicester City,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Iwobi,"MF,FW",Everton,38,38,3378,37.5,2,7,9,2,0,0,2,0,2.5,2.5,6.1,8.5,90,194,145
Daniel James,FW,Leeds United,4,2,198,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,3,9
Daniel James,FW,Fulham,20,5,621,6.9,2,1,3,2,0,0,0,0,1.7,1.7,0.7,2.5,24,15,48
Reece James,"DF,MF",Chelsea,16,14,1244,13.8,1,1,2,1,0,0,4,0,1,1,3,4,52,90,115
Vitaly Janelt,"MF,DF",Brentford,35,24,2208,24.5,3,1,4,3,0,0,3,0,2.4,2.4,1.4,3.8,14,82,28
Pontus Jansson,DF,Brentford,12,9,724,8,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,1,14,0
Mathias Jensen,MF,Brentford,37,37,2803,31.1,5,6,11,5,0,0,5,0,2.2,2.2,5,7.2,21,141,77
Gabriel Jesus,FW,Arsenal,26,24,2064,22.9,11,6,17,10,1,1,6,0,14,13.2,3.9,17.1,44,64,194
Raúl Jiménez,FW,Wolves,15,8,846,9.4,0,1,1,0,0,0,0,0,2.6,2.6,1.7,4.3,5,14,45
Joelinton,"MF,FW",Newcastle Utd,32,30,2661,29.6,6,1,7,6,0,0,12,0,7.1,7.1,2.4,9.4,64,130,150
Ben Johnson,DF,West Ham,17,9,866,9.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,15,37,22
Brennan Johnson,"FW,MF",Nott'ham Forest,38,33,2934,32.6,8,3,11,7,1,3,6,0,8.6,6.2,3.2,9.4,88,30,155
Sam Johnstone,GK,Crystal Palace,9,9,810,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Curtis Jones,MF,Liverpool,18,12,1035,11.5,3,1,4,3,0,0,2,0,1.2,1.2,1.1,2.3,31,69,75
Jorginho,MF,Arsenal,14,9,855,9.5,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,15,99,8
Jorginho,MF,Chelsea,18,15,1279,14.2,2,0,2,0,2,2,4,0,1.7,0.1,0.4,0.5,13,80,10
Mateo Joseph,"FW,MF",Leeds United,3,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,2
Diogo Jota,FW,Liverpool,22,12,1131,12.6,7,4,11,7,0,0,2,0,6.5,6.5,2.1,8.6,34,30,104
Hamed Junior Traorè,"FW,MF",Bournemouth,7,5,427,4.7,0,0,0,0,0,0,0,0,0.9,0.9,1.1,2.1,19,26,21
James Justin,DF,Leicester City,14,14,1252,13.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,20,47,50
Mathias Jørgensen,DF,Brentford,18,11,1103,12.3,0,0,0,0,0,0,2,0,0.9,0.9,0.2,1.1,1,35,1
Sasa Kalajdzic,FW,Wolves,1,1,45,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,1
Boubacar Kamara,MF,Aston Villa,24,21,1777,19.7,0,1,1,0,0,0,4,0,0.2,0.2,0.8,1,16,84,8
Harry Kane,FW,Tottenham,38,38,3405,37.8,30,3,33,25,5,6,6,0,21.5,16.7,7,23.7,60,180,193
N'Golo Kanté,MF,Chelsea,7,6,518,5.8,0,1,1,0,0,0,1,0,0.3,0.3,1.9,2.2,19,34,36
Michael Keane,DF,Everton,12,10,985,10.9,1,2,3,1,0,0,0,0,1.3,1.3,0.7,2.1,2,31,4
Neeskens Kebano,FW,Fulham,17,9,764,8.5,0,3,3,0,0,0,0,0,0.5,0.5,1.5,2,39,24,68
Thilo Kehrer,DF,West Ham,27,25,2230,24.8,0,2,2,0,0,0,4,0,0.5,0.5,0.6,1.1,15,60,29
Naby Keïta,MF,Liverpool,8,3,293,3.3,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.4,5,15,21
Caoimhín Kelleher,GK,Liverpool,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lloyd Kelly,DF,Bournemouth,23,23,2040,22.7,0,2,2,0,0,0,3,0,0.2,0.2,0.5,0.7,14,47,10
Max Kilman,DF,Wolves,37,37,3307,36.7,0,0,0,0,0,0,3,0,1.3,1.3,0.2,1.6,30,127,5
Jakub Kiwior,DF,Arsenal,7,5,427,4.7,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,0,6,6
Mateusz Klich,"MF,FW",Leeds United,14,0,280,3.1,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,5,16,21
Robin Koch,DF,Leeds United,36,36,3175,35.3,0,0,0,0,0,0,7,0,1.5,1.5,0.4,1.9,11,114,11
Ibrahima Konaté,DF,Liverpool,18,17,1552,17.2,0,0,0,0,0,0,5,0,1.2,1.2,0.1,1.4,7,56,5
Ezri Konsa,DF,Aston Villa,38,37,3322,36.9,0,0,0,0,0,0,6,0,1.1,1.1,1.3,2.3,7,56,11
Kalidou Koulibaly,DF,Chelsea,23,20,1800,20,2,1,3,2,0,0,7,1,0.9,0.9,0.4,1.4,10,81,4
Cheikhou Kouyaté,MF,Nott'ham Forest,21,10,882,9.8,1,0,1,1,0,0,3,0,0.4,0.4,0.7,1.1,6,19,14
Mateo Kovačić,MF,Chelsea,27,17,1707,19,1,2,3,1,0,0,8,0,1.8,1.8,2.1,3.9,37,153,30
Emil Krafth,DF,Newcastle Utd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Kulusevski,"MF,FW",Tottenham,30,23,2067,23,2,7,9,2,0,0,2,0,2.6,2.6,4.7,7.2,87,67,195
Layvin Kurzawa,DF,Fulham,3,2,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2
Adam Lallana,"MF,FW",Brighton,16,12,722,8,2,1,3,2,0,0,0,0,0.9,0.9,1,1.9,10,33,43
Tariq Lamptey,DF,Brighton,20,3,453,5,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,28,26,58
Manuel Lanzini,"MF,FW",West Ham,10,2,252,2.8,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.7,2,19,6
Aymeric Laporte,DF,Manchester City,12,11,993,11,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,30,85,11
Juan Larios,DF,Southampton,5,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1
Jamaal Lascelles,DF,Newcastle Utd,7,2,218,2.4,0,0,0,0,0,0,4,0,0.1,0.1,0,0.1,0,3,0
Roméo Lavia,MF,Southampton,29,26,2221,24.7,1,0,1,1,0,0,9,0,0.4,0.4,0.6,1,22,102,14
Dexter Lembikisa,DF,Wolves,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3
Mario Lemina,MF,Wolves,19,17,1299,14.4,0,1,1,0,0,0,4,1,0.3,0.3,0.3,0.6,6,42,9
Clément Lenglet,DF,Tottenham,26,24,2019,22.4,0,2,2,0,0,0,4,0,1,1,0.6,1.6,33,85,7
Bernd Leno,GK,Fulham,36,36,3240,36,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Jefferson Lerma,MF,Bournemouth,37,37,3252,36.1,5,0,5,5,0,0,7,0,2.6,2.6,2.3,4.9,22,142,30
Jamal Lewis,"DF,FW",Newcastle Utd,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Rico Lewis,"DF,MF",Manchester City,14,10,903,10,0,0,0,0,0,0,1,0,0.2,0.2,1.5,1.7,22,48,26
Keane Lewis-Potter,"FW,MF",Brentford,10,3,321,3.6,0,1,1,0,0,0,0,0,0.5,0.5,1.2,1.7,8,6,39
Victor Lindelöf,DF,Manchester Utd,20,14,1365,15.2,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,3,36,1
Jesse Lingard,"FW,MF",Nott'ham Forest,17,12,923,10.3,0,0,0,0,0,0,1,0,1,1,0.7,1.7,11,33,38
Valentino Livramento,"DF,FW",Southampton,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Llorente,DF,Leeds United,8,7,649,7.2,0,0,0,0,0,0,1,0,0.7,0.7,0,0.7,2,27,1
Hugo Lloris,GK,Tottenham,25,25,2205,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renan Lodi,DF,Nott'ham Forest,28,26,2214,24.6,0,1,1,0,0,0,7,0,1,1,1.2,2.1,24,31,70
Ruben Loftus-Cheek,"MF,DF",Chelsea,25,19,1536,17.1,0,1,1,0,0,0,1,0,0.8,0.8,1.5,2.4,56,90,86
Sean Longstaff,MF,Newcastle Utd,33,28,2518,28,1,4,5,1,0,0,2,0,3.6,3.6,3.3,6.9,21,116,115
Jamal Lowe,"MF,FW",Bournemouth,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Douglas Luiz,MF,Aston Villa,37,33,2927,32.5,6,6,12,6,0,0,6,1,2.8,2.8,4.4,7.2,48,148,35
Saša Lukić,MF,Fulham,12,4,412,4.6,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,8,13,5
Lyanco,DF,Southampton,21,11,1180,13.1,1,1,2,1,0,0,4,0,0.6,0.6,0.5,1,13,35,4
Alexis Mac Allister,MF,Brighton,35,31,2886,32.1,10,2,12,4,6,6,8,0,12.1,7.3,4.3,11.6,69,174,77
James Maddison,"MF,FW",Leicester City,30,28,2480,27.6,10,9,19,9,1,2,10,0,8.7,6.6,9.3,16,77,151,155
Noni Madueke,FW,Chelsea,12,7,643,7.1,1,0,1,1,0,0,0,0,0.9,0.9,0.5,1.5,48,36,100
Harry Maguire,DF,Manchester Utd,16,8,767,8.5,0,0,0,0,0,0,4,0,0.3,0.3,0,0.4,8,26,4
Riyad Mahrez,"FW,MF",Manchester City,30,22,1920,21.3,5,10,15,4,1,1,2,0,5.6,4.8,7,11.8,78,76,242
Kobbie Mainoo,MF,Manchester Utd,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Ainsley Maitland-Niles,"DF,MF",Southampton,22,13,1407,15.6,0,0,0,0,0,0,3,0,0,0,0.7,0.7,15,57,35
Tyrell Malacia,DF,Manchester Utd,22,14,1396,15.5,0,0,0,0,0,0,6,0,0.2,0.2,0.7,0.9,19,44,33
Orel Mangala,MF,Nott'ham Forest,27,20,1550,17.2,1,1,2,1,0,0,3,0,0.6,0.6,0.4,0.9,14,43,8
Javier Manquillo,DF,Newcastle Utd,4,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1
Sekou Mara,"FW,MF",Southampton,22,4,555,6.2,1,2,3,1,0,0,1,0,1,1,0.8,1.8,7,7,27
Solly March,"FW,DF",Brighton,33,31,2715,30.2,7,7,14,7,0,0,2,0,8.1,8.1,8.4,16.5,110,135,357
Emiliano Marcondes,MF,Bournemouth,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Marquinhos,MF,Arsenal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Martial,FW,Manchester Utd,21,11,978,10.9,6,2,8,5,1,1,0,0,6.2,5.5,1.4,6.9,18,35,87
Gabriel Martinelli,FW,Arsenal,36,34,2789,31,15,5,20,15,0,0,3,0,9.3,9.3,9.1,18.4,124,94,350
Emiliano Martínez,GK,Aston Villa,36,36,3139,34.9,0,0,0,0,0,0,7,0,0,0,0.3,0.3,0,0,0
Lisandro Martínez,DF,Manchester Utd,27,24,2114,23.5,1,0,1,1,0,0,6,0,0.5,0.5,0.3,0.8,12,83,2
Pape Matar Sarr,"MF,FW",Tottenham,11,2,218,2.4,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,1,13,0
Jean-Philippe Mateta,FW,Crystal Palace,29,6,770,8.6,2,0,2,2,0,0,3,0,3.4,3.4,0.6,4,9,6,43
Joël Matip,DF,Liverpool,14,12,1092,12.1,1,0,1,1,0,0,3,0,0.7,0.7,0.3,1,28,59,2
Neal Maupay,FW,Everton,27,11,1118,12.4,1,0,1,1,0,0,4,0,4.8,4.8,0.6,5.4,8,11,61
Kevin Mbabu,"DF,FW",Fulham,6,1,144,1.6,0,1,1,0,0,0,1,0,0,0,0.4,0.4,4,8,11
Bryan Mbeumo,FW,Brentford,38,36,2906,32.3,9,8,17,8,1,1,5,0,9.8,9,7.6,16.5,66,88,235
James McArthur,MF,Crystal Palace,4,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alex McCarthy,GK,Southampton,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John McGinn,"MF,FW",Aston Villa,34,30,2693,29.9,1,3,4,1,0,0,7,0,2.4,2.4,2.6,5,34,140,66
Scott McKenna,DF,Nott'ham Forest,20,19,1571,17.5,0,0,0,0,0,0,4,0,0.1,0.1,1,1.1,5,35,2
Weston McKennie,MF,Leeds United,19,16,1437,16,0,1,1,0,0,0,7,0,0.8,0.8,0.7,1.4,14,82,33
Dwight McNeil,"FW,MF",Everton,36,28,2498,27.8,7,3,10,7,0,0,5,0,3.5,3.5,6.1,9.6,76,69,128
Scott McTominay,MF,Manchester Utd,24,10,1160,12.9,1,0,1,1,0,0,8,0,1.9,1.9,0.6,2.5,20,33,19
Ben Mee,DF,Brentford,37,37,3269,36.3,3,1,4,3,0,0,2,0,3.2,3.2,1.3,4.5,8,84,14
Édouard Mendy,GK,Chelsea,10,9,855,9.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nampalys Mendy,MF,Leicester City,19,7,757,8.4,1,0,1,1,0,0,1,0,0.1,0.1,0,0.2,2,28,4
Chris Mepham,DF,Bournemouth,26,24,2199,24.4,0,0,0,0,0,0,7,0,0.7,0.7,0.2,0.9,2,42,1
Illan Meslier,GK,Leeds United,34,34,3060,34,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,0,0,0
Alex Mighten,FW,Nott'ham Forest,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lewis Miley,MF,Newcastle Utd,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0
Luka Milivojević,MF,Crystal Palace,18,5,512,5.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,2,20,2
James Milner,"MF,DF",Liverpool,31,7,913,10.1,0,1,1,0,0,0,2,0,0.4,0.4,0.9,1.3,21,70,78
Yerry Mina,DF,Everton,7,7,594,6.6,2,0,2,2,0,0,2,0,1.5,1.5,0.1,1.6,1,13,3
Tyrone Mings,DF,Aston Villa,35,35,3150,35,1,2,3,1,0,0,7,0,1.2,1.2,1.4,2.6,20,111,7
Tyrick Mitchell,DF,Crystal Palace,36,34,2891,32.1,0,2,2,0,0,0,5,1,0.6,0.6,1.2,1.8,23,106,90
Kaoru Mitoma,"FW,MF",Brighton,33,24,2318,25.8,7,5,12,7,0,0,0,0,8.1,8.1,6.4,14.5,143,90,260
Aleksandar Mitrović,FW,Fulham,24,23,2008,22.3,14,1,15,10,4,8,7,0,14.9,8.6,2.3,10.9,24,44,97
Kieffer Moore,FW,Bournemouth,27,12,1279,14.2,4,0,4,4,0,0,1,0,4.4,4.4,0.3,4.7,10,23,56
Andrew Moran,FW,Brighton,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Álex Moreno,DF,Aston Villa,19,14,1329,14.8,0,3,3,0,0,0,3,0,0.6,0.6,3,3.7,65,37,122
Mason Mount,"MF,FW",Chelsea,24,20,1648,18.3,3,2,5,3,0,0,4,0,2,2,3,5,48,98,114
Lucas Moura,"MF,DF",Tottenham,15,0,153,1.7,1,0,1,1,0,0,0,1,0.5,0.5,0.3,0.9,4,13,15
João Moutinho,MF,Wolves,31,20,1780,19.8,0,2,2,0,0,0,3,0,1.3,1.3,2.6,3.9,23,132,32
Divin Mubama,FW,West Ham,3,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mykhailo Mudryk,"FW,MF",Chelsea,15,7,657,7.3,0,2,2,0,0,0,1,0,1.9,1.9,0.9,2.8,25,20,43
Jacob Murphy,FW,Newcastle Utd,36,14,1251,13.9,4,2,6,4,0,0,0,0,3.3,3.3,2.8,6.1,66,57,141
Enock Mwepu,"FW,MF",Brighton,6,2,213,2.4,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,5,6,17
Vitaliy Mykolenko,DF,Everton,34,30,2655,29.5,0,0,0,0,0,0,4,0,0.5,0.5,1.2,1.8,31,100,72
Keylor Navas,GK,Nott'ham Forest,17,17,1529,17,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Wilfred Ndidi,MF,Leicester City,27,19,1679,18.7,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,11,51,7
Reiss Nelson,FW,Arsenal,11,0,212,2.4,3,2,5,3,0,0,0,0,1.1,1.1,1.4,2.5,19,6,34
Neto,GK,Bournemouth,27,27,2385,26.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Pedro Neto,"FW,MF",Wolves,18,13,964,10.7,0,0,0,0,0,0,1,0,1.1,1.1,2.1,3.2,37,24,111
Rúben Neves,MF,Wolves,35,33,3019,33.5,6,1,7,3,3,3,12,0,5.2,2.8,1.6,4.4,28,218,18
Moussa Niakhate,DF,Nott'ham Forest,14,14,1163,12.9,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,2,15,3
Rasmus Nissen,DF,Leeds United,26,21,1960,21.8,3,1,4,3,0,0,4,0,0.8,0.8,1,1.9,15,89,70
Eddie Nketiah,FW,Arsenal,30,9,1089,12.1,4,1,5,4,0,0,3,0,8.2,8.2,1.3,9.5,32,15,82
Matheus Nunes,MF,Wolves,34,30,2467,27.4,1,1,2,1,0,0,2,1,2.4,2.4,2.2,4.7,59,84,129
Darwin Núñez,FW,Liverpool,29,19,1695,18.8,9,3,12,9,0,0,1,1,12.1,12.1,5.4,17.5,61,29,181
Ethan Nwaneri,FW,Arsenal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Nørgaard,MF,Brentford,22,21,1763,19.6,1,3,4,1,0,0,6,0,1.6,1.6,3.1,4.7,4,73,8
Lewis O'Brien,MF,Nott'ham Forest,13,6,584,6.5,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,13,21,3
Odeluga Offiah,DF,Brighton,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Angelo Ogbonna,DF,West Ham,16,13,1237,13.7,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0,11,2
Michael Olise,"FW,MF",Crystal Palace,37,31,2749,30.5,2,11,13,2,0,0,2,0,2.9,2.9,8.7,11.6,111,133,243
Robin Olsen,GK,Aston Villa,4,2,281,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amadou Onana,MF,Everton,33,29,2488,27.6,1,2,3,1,0,0,9,0,3,3,2.6,5.6,27,79,49
Josh Onomah,MF,Fulham,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Paul Onuachu,FW,Southampton,11,4,407,4.5,0,0,0,0,0,0,0,0,1.3,1.3,0.1,1.4,1,7,22
Frank Onyeka,MF,Brentford,21,8,848,9.4,0,2,2,0,0,0,0,0,1,1,0.6,1.7,9,28,21
Mislav Oršić,MF,Southampton,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Ortega,GK,Manchester City,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dango Ouattara,"MF,FW",Bournemouth,19,15,1241,13.8,1,3,4,1,0,0,1,0,3.6,3.6,2.5,6.1,39,23,87
Alex Oxlade-Chamberlain,"FW,MF",Liverpool,9,4,335,3.7,1,0,1,1,0,0,0,0,1.3,1.3,0.9,2.2,11,14,28
David Ozoh,FW,Crystal Palace,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Palhinha,MF,Fulham,35,35,3108,34.5,3,0,3,3,0,0,14,0,2.9,2.9,0.4,3.3,8,101,18
Cole Palmer,"MF,FW",Manchester City,14,2,370,4.1,0,1,1,0,0,0,1,0,1.2,1.2,0.6,1.8,29,13,40
Emerson Palmieri,DF,West Ham,22,16,1320,14.7,1,0,1,1,0,0,2,0,0.8,0.8,0.9,1.7,38,45,57
Lucas Paquetá,MF,West Ham,28,27,2151,23.9,4,3,7,3,1,1,5,0,4.4,3.6,2.5,6.1,25,147,63
Thomas Partey,MF,Arsenal,33,28,2483,27.6,3,0,3,3,0,0,5,0,2.2,2.2,1.5,3.8,34,231,35
Nathan Patterson,"DF,MF",Everton,19,14,1279,14.2,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,16,24,51
Ben Pearson,MF,Bournemouth,7,3,286,3.2,0,0,0,0,0,0,1,0,0,0,0,0,2,5,4
Facundo Pellistri,"FW,MF",Manchester Utd,4,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Andreas Pereira,MF,Fulham,33,33,2692,29.9,4,6,10,3,1,1,8,0,7.3,6.5,5.2,11.7,53,121,133
Ricardo Pereira,"DF,MF",Leicester City,10,5,454,5,1,1,2,1,0,0,2,0,0.1,0.1,0.6,0.7,5,27,14
Ayoze Pérez,"MF,FW",Leicester City,8,3,382,4.2,0,1,1,0,0,0,0,0,1.1,1.1,1.5,2.6,17,20,43
Ivan Perišić,"DF,MF",Tottenham,34,23,2108,23.4,1,8,9,1,0,0,6,0,2.6,2.6,6.1,8.8,87,61,181
Romain Perraud,DF,Southampton,29,22,1835,20.4,2,2,4,2,0,0,4,0,1.3,1.3,1.9,3.2,33,62,122
Máximo Perrone,MF,Manchester City,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Cameron Peupion,MF,Brighton,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,2
Kalvin Phillips,MF,Manchester City,12,2,300,3.3,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,1,18,2
Nathaniel Phillips,DF,Liverpool,2,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Jordan Pickford,GK,Everton,37,37,3330,37,0,1,1,0,0,0,6,0,0,0,0.1,0.1,0,2,0
Ethan Pinnock,DF,Brentford,30,30,2700,30,3,0,3,3,0,0,0,0,3,3,1,4,2,52,16
Daniel Podence,"FW,MF",Wolves,32,20,1771,19.7,6,0,6,6,0,0,5,0,3.9,3.9,2.5,6.4,43,95,148
Nick Pope,GK,Newcastle Utd,37,37,3261,36.2,0,0,0,0,0,0,3,1,0,0,0.1,0.1,0,1,0
Pedro Porro,"DF,MF",Tottenham,15,13,1131,12.6,3,3,6,3,0,0,0,0,1.8,1.8,3,4.8,34,39,95
Dennis Praet,"MF,FW",Leicester City,22,6,649,7.2,1,0,1,1,0,0,1,0,1,1,0.5,1.5,15,17,42
Isaac Price,MF,Everton,1,0,33,0.4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,1,0
Christian Pulisic,"FW,DF",Chelsea,24,8,821,9.1,1,1,2,1,0,0,1,0,1.7,1.7,0.7,2.3,35,23,76
Aaron Ramsdale,GK,Arsenal,38,38,3420,38,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0
