rank,player,nation,position,team,age,born,ninetys,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_free_kicks,penalties_made,penalties_attempted,expected_goals,non_penalty_expected_goals,non_penalty_expected_goal/shots,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
11,Daniel Amartey,gh GHA,DF,Leicester City,23,1994,7.1,0,4,1,25,0.56,0.14,0,0,19.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3
12,Luke Amos,eng ENG,MF,Tottenham,21,1997,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
13,Felipe Anderson,br BRA,"MF,FW",West Ham,25,1993,33.8,9,58,24,41.4,1.72,0.71,0.16,0.38,18.7,5,0,0,5.5,5.5,0.09,3.5,3.5
14,Florin Andone,ro ROU,FW,Brighton,25,1993,9.8,3,19,8,42.1,1.94,0.82,0.16,0.38,12.3,0,0,0,2.5,2.5,0.13,0.5,0.5
15,Michail Antonio,jm JAM,"MF,FW",West Ham,28,1990,23.4,6,65,25,38.5,2.78,1.07,0.09,0.24,16.2,0,0,0,7.1,7.1,0.11,-1.1,-1.1
16,Stuart Armstrong,sct SCO,MF,Southampton,26,1992,15.9,3,32,12,37.5,2.01,0.75,0.09,0.25,21.8,0,0,0,2,2,0.06,1,1
17,Marko Arnautović,at AUT,FW,West Ham,29,1989,22.1,10,61,31,50.8,2.76,1.4,0.15,0.29,17.5,3,1,1,8.9,8.1,0.13,1.1,0.9
18,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
19,Harry Arter,ie IRL,MF,Cardiff City,28,1989,22.2,0,23,4,17.4,1.04,0.18,0,0,23.6,0,0,0,0.9,0.9,0.04,-0.9,-0.9
20,Christian Atsu,gh GHA,MF,Newcastle Utd,26,1992,16.6,1,28,14,50,1.69,0.84,0.04,0.07,19.6,0,0,0,2.1,2.1,0.08,-1.1,-1.1
