player,position,team,matches_played,starts,minutes_played,90s,goals,assists,goals+assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,expected_goals,non_penalty_expected_goals,expected_assisted_goals,non_penalty_expected_goals+expected_assisted_goals,progressive_carries,progressive_passes,progressive_passes_recieved
Danny Ings,FW,Southampton,24,23,1651,18.3,7,3,10,4,3,3,1,0,9.4,7,3.1,10.1,21,56,125
Alex Iwobi,"FW,MF",Arsenal,35,22,1970,21.9,3,6,9,3,0,0,0,0,3.5,3.5,7,10.5,132,141,234
José Izquierdo,"MF,FW",Brighton,15,9,795,8.8,0,1,1,0,0,0,1,0,0.6,0.6,0.4,1,20,19,58
Phil Jagielka,DF,Everton,7,4,331,3.7,1,0,1,1,0,0,0,1,0.6,0.6,0.3,0.9,0,6,0
Alireza Jahanbakhsh,"FW,MF",Brighton,19,12,1020,11.3,0,0,0,0,0,0,2,0,0.8,0.8,0.2,1,14,18,56
Daryl Janmaat,DF,Watford,18,17,1520,16.9,0,2,2,0,0,0,3,0,0.5,0.5,0.8,1.2,32,67,51
Vincent Janssen,FW,Tottenham,3,0,39,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,0,6
Carl Jenkinson,DF,Arsenal,3,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9
Gabriel Jesus,FW,Manchester City,29,8,1036,11.5,7,3,10,6,1,1,1,0,11.2,10.5,2.3,12.7,35,21,128
Raúl Jiménez,FW,Wolves,38,36,3111,34.6,13,7,20,11,2,2,4,0,15.1,13.6,6.3,19.8,76,82,236
Stefan Johansen,MF,Fulham,12,4,417,4.6,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.1,3,36,15
Ben Johnson,DF,West Ham,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tyreke Johnson,MF,Southampton,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Jones,DF,Manchester Utd,18,15,1263,14,0,1,1,0,0,0,1,0,0.4,0.4,0.5,1,11,35,2
Jorginho,MF,Chelsea,37,37,3156,35.1,2,0,2,1,1,1,8,0,1.4,0.6,3.2,3.8,30,323,46
Joselu,FW,Newcastle Utd,16,5,596,6.6,2,0,2,2,0,0,1,0,1.6,1.6,0,1.6,4,8,28
Diogo Jota,"FW,MF",Wolves,33,29,2355,26.2,9,5,14,9,0,0,11,0,8.8,8.8,5.3,14,125,71,182
Mathias Jørgensen,DF,Huddersfield,24,24,2147,23.9,3,1,4,3,0,0,6,0,1.4,1.4,0.3,1.7,21,93,6
Christian Kabasele,DF,Watford,21,19,1586,17.6,0,0,0,0,0,0,4,1,1.5,1.5,0.6,2.1,1,25,1
Elias Kachunga,"FW,MF",Huddersfield,20,13,1182,13.1,0,0,0,0,0,0,2,0,0.9,0.9,0.2,1.1,29,22,66
Aboubakar Kamara,FW,Fulham,13,5,693,7.7,3,0,3,2,1,2,2,0,3.7,2.1,0.7,2.8,24,6,93
Harry Kane,FW,Tottenham,28,27,2424,26.9,17,4,21,13,4,4,5,0,14.4,11.3,4,15.3,59,80,194
N'Golo Kanté,MF,Chelsea,36,36,3092,34.4,4,4,8,4,0,0,3,0,2.9,2.9,3.5,6.4,82,178,159
Beram Kayal,MF,Brighton,18,9,940,10.4,1,1,2,1,0,0,4,0,0.4,0.4,1.1,1.5,16,32,11
Michael Keane,DF,Everton,33,33,2969,33,1,2,3,1,0,0,2,0,2.3,2.3,1.4,3.8,11,113,2
Neeskens Kebano,"FW,MF",Fulham,7,0,108,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,6,4,17
Naby Keïta,"MF,FW",Liverpool,25,16,1390,15.4,2,1,3,2,0,0,0,0,2,2,1,3,68,103,79
Martin Kelly,DF,Crystal Palace,13,12,1111,12.3,0,0,0,0,0,0,2,0,0.4,0.4,0,0.5,4,22,1
Kenedy,"MF,DF",Newcastle Utd,25,14,1348,15,1,1,2,1,0,1,1,0,2.2,1.4,0.7,2.1,30,41,66
Jonjoe Kenny,DF,Everton,10,8,791,8.8,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.7,16,51,35
Max Kilman,DF,Wolves,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua King,"FW,MF",Bournemouth,35,34,2961,32.9,12,3,15,7,5,6,3,0,13.5,8.7,3.8,12.5,131,85,248
Anthony Knockaert,"MF,FW",Brighton,30,18,1837,20.4,2,6,8,2,0,0,4,1,2.1,2.1,3.6,5.7,56,58,119
Sead Kolašinac,"DF,MF",Arsenal,24,22,1887,21,0,5,5,0,0,0,5,0,0.4,0.4,6,6.3,74,76,179
Vincent Kompany,DF,Manchester City,17,13,1224,13.6,1,0,1,1,0,0,6,0,0.3,0.3,0,0.3,17,83,3
Terence Kongolo,DF,Huddersfield,32,32,2716,30.2,1,1,2,1,0,0,4,0,1.3,1.3,1.1,2.3,25,90,42
Laurent Koscielny,DF,Arsenal,17,13,1331,14.8,3,0,3,3,0,0,1,0,1.4,1.4,0.2,1.5,8,37,3
Cheikhou Kouyaté,MF,Crystal Palace,31,21,1899,21.1,0,2,2,0,0,0,3,0,1.1,1.1,1.1,2.2,19,86,31
Mateo Kovačić,MF,Chelsea,32,21,1735,19.3,0,2,2,0,0,0,3,0,2.2,2.2,1.7,3.9,59,140,66
Rajiv van La Parra,"FW,MF",Huddersfield,5,5,405,4.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,19,7,18
Alexandre Lacazette,FW,Arsenal,35,27,2502,27.8,13,8,21,13,0,0,2,0,11.7,11.7,3.7,15.4,45,92,265
Adam Lallana,"MF,FW",Liverpool,13,5,468,5.2,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.7,18,30,39
Érik Lamela,"MF,FW",Tottenham,19,9,974,10.8,4,2,6,4,0,0,2,0,3.3,3.3,1.8,5.2,34,34,95
Manuel Lanzini,MF,West Ham,10,8,686,7.6,1,1,2,1,0,0,2,0,1.1,1.1,0.8,2,22,39,28
Aymeric Laporte,DF,Manchester City,35,34,3057,34,3,3,6,3,0,0,3,0,3,3,0.8,3.8,94,294,9
Jamaal Lascelles,DF,Newcastle Utd,32,32,2745,30.5,0,1,1,0,0,0,4,0,0.6,0.6,0.9,1.5,5,53,9
Maxime Le Marchand,DF,Fulham,26,25,2250,25,0,1,1,0,0,0,5,0,0.3,0.3,0.7,1,16,77,15
Florian Lejeune,DF,Newcastle Utd,12,12,1054,11.7,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,9,33,8
Mario Lemina,MF,Southampton,21,18,1613,17.9,1,1,2,1,0,0,5,0,1.1,1.1,1.1,2.2,41,92,29
Aaron Lennon,MF,Burnley,16,14,1215,13.5,1,1,2,1,0,0,1,0,0.8,0.8,0.7,1.5,21,18,55
Bernd Leno,GK,Arsenal,32,31,2836,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Jefferson Lerma,MF,Bournemouth,30,29,2506,27.8,2,0,2,2,0,0,12,0,1.3,1.3,1.1,2.3,17,133,17
Stephan Lichtsteiner,DF,Arsenal,14,10,938,10.4,0,0,0,0,0,0,3,0,0,0,0.1,0.1,24,32,48
Victor Lindelöf,DF,Manchester Utd,30,29,2601,28.9,1,1,2,1,0,0,1,0,0.7,0.7,1.2,1.9,14,83,2
Jesse Lingard,"FW,MF",Manchester Utd,27,19,1663,18.5,4,2,6,3,1,1,3,0,4.7,3.9,2.7,6.6,41,55,109
Fernando Llorente,FW,Tottenham,20,6,694,7.7,1,4,5,1,0,0,2,0,3.4,3.4,1.6,5,3,10,72
Hugo Lloris,GK,Tottenham,33,33,2970,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jürgen Locadia,"FW,MF",Brighton,26,12,1236,13.7,2,0,2,2,0,0,1,0,2.7,2.7,1,3.7,17,15,104
Ruben Loftus-Cheek,"MF,FW",Chelsea,24,6,998,11.1,6,2,8,6,0,0,0,0,2.8,2.8,0.8,3.7,52,61,75
Kevin Long,DF,Burnley,6,5,514,5.7,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.5,1,10,0
Shane Long,"FW,MF",Southampton,26,12,1272,14.1,5,1,6,5,0,0,3,0,4.6,4.6,1.6,6.2,13,18,98
Sean Longstaff,MF,Newcastle Utd,9,8,687,7.6,1,0,1,1,0,0,2,0,0.7,0.7,0.5,1.2,2,28,6
Ademola Lookman,"FW,MF",Everton,21,3,618,6.9,0,2,2,0,0,0,0,0,1.4,1.4,1.4,2.8,34,24,52
Jonas Lössl,GK,Huddersfield,31,30,2778,30.9,0,1,1,0,0,0,1,0,0,0,0.5,0.5,0,0,0
Dejan Lovren,DF,Liverpool,13,11,986,11,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,2,27,2
Chris Löwe,"DF,MF",Huddersfield,29,23,2057,22.9,0,2,2,0,0,0,2,0,0.6,0.6,1.7,2.4,46,64,86
Matthew Lowton,DF,Burnley,21,19,1750,19.4,0,0,0,0,0,0,7,0,0.6,0.6,0.7,1.3,18,74,38
David Luiz,DF,Chelsea,36,36,3238,36,3,2,5,3,0,0,3,0,2.6,2.6,2.9,5.5,54,247,4
Romelu Lukaku,FW,Manchester Utd,32,22,2136,23.7,12,0,12,12,0,0,4,0,10.5,10.5,2.2,12.7,44,55,200
James Maddison,"MF,FW",Leicester City,36,35,2831,31.5,7,7,14,6,1,2,4,1,7.4,5.9,8.2,14,63,198,148
Gary Madine,"FW,MF",Cardiff City,5,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Harry Maguire,DF,Leicester City,31,31,2596,28.8,3,0,3,3,0,0,6,1,2.4,2.4,0.8,3.2,53,190,23
Riyad Mahrez,"FW,MF",Manchester City,27,14,1343,14.9,7,4,11,7,0,1,0,0,5.5,4.7,4.6,9.3,87,73,191
Ainsley Maitland-Niles,DF,Arsenal,16,11,987,11,1,1,2,1,0,0,2,1,0.9,0.9,0.9,1.8,32,60,66
Sadio Mané,FW,Liverpool,36,35,3077,34.2,22,1,23,22,0,0,2,0,15.1,15.1,4.5,19.7,121,129,285
Javier Manquillo,DF,Newcastle Utd,18,12,1101,12.2,0,3,3,0,0,0,2,0,0.1,0.1,0.7,0.7,26,29,39
Solly March,"FW,MF",Brighton,35,30,2463,27.4,1,5,6,1,0,0,1,0,2.5,2.5,4.3,6.8,65,60,208
Adrian Mariappa,DF,Watford,26,20,1927,21.4,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.3,3,41,0
Lazar Marković,MF,Fulham,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7
Anthony Martial,FW,Manchester Utd,27,18,1621,18,10,2,12,9,1,1,2,0,6.2,5.4,2.9,8.2,109,66,205
Adam Masina,DF,Watford,14,11,1004,11.2,0,1,1,0,0,0,5,0,0.1,0.1,0.8,0.9,10,39,13
Arthur Masuaku,DF,West Ham,23,19,1759,19.5,0,1,1,0,0,0,2,0,0.1,0.1,0.8,0.9,69,96,53
Juan Mata,"FW,MF",Manchester Utd,22,16,1289,14.3,3,2,5,3,0,0,3,0,1.6,1.6,2.9,4.5,24,75,96
Nemanja Matić,MF,Manchester Utd,28,28,2436,27.1,1,0,1,1,0,0,7,1,1.3,1.3,0.5,1.8,42,165,13
Joël Matip,DF,Liverpool,22,17,1537,17.1,1,0,1,1,0,0,3,0,0.7,0.7,0.2,0.9,27,66,2
Konstantinos Mavropanos,DF,Arsenal,4,3,148,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,3,9,0
Alfie Mawson,DF,Fulham,15,13,1131,12.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,26,0
Isaac Mbenza,"FW,MF",Huddersfield,22,10,986,11,1,1,2,1,0,0,1,0,1,1,0.9,1.9,25,18,57
James McArthur,MF,Crystal Palace,38,36,3058,34,3,6,9,3,0,0,7,0,4.1,4.1,3.3,7.4,42,142,137
Alex McCarthy,GK,Southampton,25,25,2250,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
James McCarthy,MF,Everton,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin McDonald,MF,Fulham,15,10,841,9.3,0,0,0,0,0,0,5,1,0.1,0.1,0.1,0.2,2,41,2
Dwight McNeil,MF,Burnley,21,19,1591,17.7,3,5,8,3,0,0,2,0,2,2,3.4,5.4,75,41,56
Scott McTominay,"MF,DF",Manchester Utd,16,9,867,9.6,2,0,2,2,0,0,1,0,1.5,1.5,0,1.5,8,34,12
Ben Mee,DF,Burnley,38,38,3420,38,0,2,2,0,0,0,9,0,1.6,1.6,1.1,2.7,9,99,9
Nathaniel Mendez-Laing,"MF,FW",Cardiff City,20,11,985,10.9,4,1,5,3,1,1,0,0,2.3,1.5,1.5,2.9,46,19,69
Benjamin Mendy,DF,Manchester City,10,10,900,10,0,5,5,0,0,0,1,0,0.2,0.2,1.6,1.8,48,70,59
Nampalys Mendy,MF,Leicester City,31,23,2092,23.2,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,16,104,19
Chris Mepham,DF,Bournemouth,13,10,850,9.4,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,7,22,1
Max Meyer,MF,Crystal Palace,29,15,1416,15.7,1,2,3,1,0,0,3,0,1.8,1.8,1.2,2.9,47,73,80
Luka Milivojević,MF,Crystal Palace,38,38,3420,38,12,2,14,2,10,11,10,0,10.9,2.2,3,5.2,32,219,15
James Milner,"MF,DF",Liverpool,31,19,1789,19.9,5,4,9,2,3,3,6,1,3.4,1.1,5.3,6.4,38,164,139
Yerry Mina,DF,Everton,13,10,892,9.9,1,0,1,1,0,0,3,0,0.3,0.3,0.1,0.4,7,39,3
Tyrone Mings,DF,Bournemouth,5,2,143,1.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,6,1
Aleksandar Mitrović,FW,Fulham,37,37,3280,36.4,11,3,14,10,1,1,7,0,14.1,13.3,3.2,16.5,28,62,244
Henrikh Mkhitaryan,"FW,MF",Arsenal,25,19,1641,18.2,6,4,10,6,0,0,1,0,5,5,6.2,11.2,68,107,144
Nacho Monreal,DF,Arsenal,22,21,1861,20.7,1,3,4,1,0,0,5,0,1.3,1.3,1.7,3.1,32,87,95
Martín Montoya,DF,Brighton,25,24,2167,24.1,0,1,1,0,0,0,4,0,0.2,0.2,1.2,1.4,35,88,36
Aaron Mooy,"MF,FW",Huddersfield,29,25,2330,25.9,3,1,4,2,1,1,4,0,2.8,2.1,2.6,4.6,61,154,94
Álvaro Morata,FW,Chelsea,16,11,941,10.5,5,0,5,5,0,0,3,0,6.1,6.1,0.2,6.4,12,13,82
Alberto Moreno,DF,Liverpool,2,2,154,1.7,0,0,0,0,0,0,0,0,0,0,0.1,0.2,3,12,10
Wes Morgan,DF,Leicester City,22,21,1925,21.4,3,0,3,3,0,0,3,2,1.8,1.8,0.2,2,6,43,9
Sean Morrison,DF,Cardiff City,34,34,3039,33.8,1,3,4,1,0,0,6,0,5,5,3.7,8.7,7,49,16
Victor Moses,FW,Chelsea,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,0,1
Steve Mounié,FW,Huddersfield,31,19,1778,19.8,2,3,5,2,0,0,1,1,5.8,5.8,1.9,7.7,22,34,94
Lucas Moura,"FW,MF",Tottenham,32,25,2121,23.6,10,0,10,10,0,0,3,0,6.3,6.3,1.5,7.8,79,63,193
Lys Mousset,FW,Bournemouth,24,1,368,4.1,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.6,5,12,41
João Moutinho,MF,Wolves,38,35,3032,33.7,1,8,9,1,0,0,4,0,0.7,0.7,6.5,7.2,34,220,48
Jacob Murphy,"MF,DF",Newcastle Utd,9,3,302,3.4,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,8,7,17
Josh Murphy,"MF,FW",Cardiff City,29,22,1817,20.2,3,2,5,3,0,0,2,0,4.1,4.1,3.9,8,81,23,126
Glenn Murray,FW,Brighton,38,30,2508,27.9,13,1,14,9,4,4,5,0,11.4,8.1,1.3,9.4,12,41,136
Shkodran Mustafi,DF,Arsenal,31,31,2611,29,2,0,2,2,0,0,9,0,1.5,1.5,0.6,2.1,26,118,12
Yoshinori Mutō,"FW,MF",Newcastle Utd,17,5,524,5.8,1,0,1,1,0,0,1,0,0.9,0.9,0.8,1.7,9,6,28
Georges-Kévin N'Koudou,FW,Tottenham,1,0,5,0.1,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,3
Samir Nasri,MF,West Ham,5,3,245,2.7,0,2,2,0,0,0,0,0,0.1,0.1,0.3,0.5,9,17,10
Marc Navarro,DF,Watford,2,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Wilfred Ndidi,MF,Leicester City,38,37,3296,36.6,2,0,2,2,0,0,8,0,3.7,3.7,1.8,5.5,26,201,35
Rúben Neves,MF,Wolves,35,34,3007,33.4,4,3,7,2,2,2,8,0,4,2.4,1.9,4.3,15,206,12
Oumar Niasse,FW,Cardiff City,13,12,931,10.3,0,0,0,0,0,0,0,0,3.4,3.4,0.6,4,23,16,64
Oumar Niasse,FW,Everton,5,0,63,0.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,1,3,10
Eddie Nketiah,"MF,FW",Arsenal,5,0,67,0.7,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,3,1,7
Mark Noble,MF,West Ham,31,29,2291,25.5,5,5,10,1,4,4,6,1,3.7,0.5,1.9,2.4,23,197,47
Håvard Nordtveit,DF,Fulham,5,4,362,4,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,5,0
Will Norris,GK,Wolves,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Obafemi,FW,Southampton,6,1,137,1.5,1,1,2,1,0,0,1,0,1.7,1.7,0.4,2.1,5,2,12
Pedro Obiang,MF,West Ham,24,12,1128,12.5,0,1,1,0,0,0,0,0,0.6,0.6,1,1.6,11,65,22
Denis Odoi,DF,Fulham,31,29,2594,28.8,0,1,1,0,0,0,4,0,0.6,0.6,0.7,1.3,36,101,16
Angelo Ogbonna,DF,West Ham,24,20,1874,20.8,1,1,2,1,0,0,2,0,1.8,1.8,0.9,2.8,6,43,1
Stefano Okaka,"FW,MF",Watford,2,0,24,0.3,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,1,1,7
Shinji Okazaki,"MF,FW",Leicester City,21,1,288,3.2,0,1,1,0,0,0,0,0,0.6,0.6,0.1,0.7,0,7,26
Divock Origi,FW,Liverpool,12,4,371,4.1,3,1,4,3,0,0,0,0,2.2,2.2,0.2,2.3,16,7,28
Nicolás Otamendi,DF,Manchester City,18,14,1236,13.7,0,0,0,0,0,0,1,0,1.3,1.3,0.2,1.5,27,92,3
Alex Oxlade-Chamberlain,MF,Liverpool,2,0,21,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,4,1
Mesut Özil,"MF,FW",Arsenal,24,20,1735,19.3,5,2,7,5,0,0,2,0,1.7,1.7,4.1,5.8,75,146,174
Emerson Palmieri,DF,Chelsea,10,7,663,7.4,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,39,34,50
Sokratis Papastathopoulos,DF,Arsenal,25,25,2198,24.4,1,2,3,1,0,0,12,0,0.8,0.8,0.7,1.5,14,43,3
Callum Paterson,"FW,MF",Cardiff City,27,21,1998,22.2,4,1,5,4,0,0,4,0,5.5,5.5,2.8,8.2,13,68,63
Rui Patrício,GK,Wolves,37,37,3329,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pedro,FW,Chelsea,31,21,1778,19.8,8,2,10,8,0,0,2,0,5.3,5.3,3.5,8.8,63,94,202
Lee Peltier,DF,Cardiff City,20,17,1544,17.2,0,0,0,0,0,0,4,0,0,0,0.1,0.1,1,33,11
Andreas Pereira,MF,Manchester Utd,15,6,599,6.7,1,1,2,1,0,0,5,0,0.3,0.3,0.9,1.1,10,33,19
Ricardo Pereira,"DF,FW",Leicester City,35,35,3123,34.7,2,6,8,2,0,0,7,0,1.2,1.2,5.2,6.4,114,170,150
Roberto Pereyra,MF,Watford,33,33,2815,31.3,6,1,7,6,0,0,3,0,5.4,5.4,3.2,8.6,101,117,188
Ayoze Pérez,"MF,FW",Newcastle Utd,37,34,2917,32.4,12,2,14,12,0,0,2,0,7.5,7.5,3.6,11.1,72,82,159
Lucas Pérez,"FW,MF",West Ham,15,4,475,5.3,3,0,3,3,0,0,0,0,1.3,1.3,0.8,2.1,2,7,34
Jordan Pickford,GK,Everton,38,38,3420,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Paul Pogba,MF,Manchester Utd,35,34,3006,33.4,13,9,22,6,7,10,6,0,15,7.1,4.7,11.8,100,295,205
Alex Pritchard,"MF,FW",Huddersfield,30,26,2081,23.1,2,0,2,2,0,0,2,0,2.7,2.7,1.8,4.5,72,91,164
Sebastian Prödl,DF,Watford,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davy Pröpper,MF,Brighton,30,30,2546,28.3,1,1,2,1,0,0,2,0,0.9,0.9,1.3,2.1,28,165,58
Jason Puncheon,MF,Crystal Palace,5,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jason Puncheon,MF,Huddersfield,6,5,382,4.2,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,6,26,17
Collin Quaner,FW,Huddersfield,2,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,4,2
Domingos Quina,MF,Watford,8,3,338,3.8,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.2,8,20,6
Joe Ralls,MF,Cardiff City,28,22,1959,21.8,0,0,0,0,0,1,4,1,1.6,0.8,3.2,4.1,20,111,18
Aaron Ramsey,MF,Arsenal,28,14,1331,14.8,4,6,10,4,0,0,0,0,3.4,3.4,2,5.4,47,88,133
Kayne Ramsey,DF,Southampton,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Rashford,FW,Manchester Utd,33,26,2334,25.9,10,6,16,10,0,0,3,1,10.7,10.7,5,15.7,74,65,225
Tim Ream,DF,Fulham,26,25,2047,22.7,0,0,0,0,0,0,1,0,0,0,0.1,0.2,13,68,1
Nathan Redmond,"MF,FW",Southampton,38,36,3270,36.3,6,4,10,6,0,0,3,0,7.6,7.6,4.7,12.2,174,129,301
Bobby Reid,"FW,MF",Cardiff City,27,16,1424,15.8,5,2,7,4,1,1,0,0,3.8,3,1.2,4.2,15,23,76
Declan Rice,MF,West Ham,34,34,3003,33.4,2,0,2,2,0,0,4,0,1.2,1.2,0.4,1.6,27,127,11
Jazz Richards,"DF,MF",Cardiff City,4,0,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Richarlison,"FW,MF",Everton,35,32,2665,29.6,13,1,14,13,0,0,5,1,9.4,9.3,2,11.3,95,74,220
Diego Rico,"DF,MF",Bournemouth,12,5,612,6.8,0,0,0,0,0,0,1,0,0.2,0.2,1.1,1.3,11,39,34
Sergio Rico,GK,Fulham,29,29,2610,29,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0
Matt Ritchie,"DF,MF",Newcastle Utd,36,35,2928,32.5,2,8,10,1,1,2,9,0,5.1,3.6,5.3,8.9,56,83,131
Andrew Robertson,DF,Liverpool,36,36,3216,35.7,0,11,11,0,0,0,4,0,0.7,0.7,7.2,7.9,124,244,263
Marcos Rojo,DF,Manchester Utd,5,2,212,2.4,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,1,8,3
Oriol Romeu,MF,Southampton,31,25,2136,23.7,1,0,1,1,0,0,11,0,0.9,0.9,1,1.9,19,147,10
Salomón Rondón,FW,Newcastle Utd,32,30,2603,28.9,11,7,18,11,0,0,1,0,10.4,10.4,3,13.4,38,46,154
Danny Rose,DF,Tottenham,26,20,1798,20,0,3,3,0,0,0,5,0,0.7,0.7,2.2,2.9,83,99,141
Aaron Rowe,FW,Huddersfield,2,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
John Ruddy,GK,Wolves,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Rüdiger,DF,Chelsea,33,33,2871,31.9,1,0,1,1,0,0,7,0,2.5,2.5,0.6,3.1,21,174,1
Mathew Ryan,GK,Brighton,34,34,3060,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Abdelhamid Sabiri,FW,Huddersfield,2,1,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Romain Saïss,"MF,DF",Wolves,19,12,1149,12.8,2,0,2,2,0,0,7,0,1.4,1.4,0.6,2,9,66,8
Bukayo Saka,FW,Arsenal,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamadou Sakho,DF,Crystal Palace,27,27,2416,26.8,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,8,91,3
Bakary Sako,FW,Crystal Palace,4,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Mohamed Salah,FW,Liverpool,38,37,3250,36.1,22,8,30,19,3,3,1,0,20.2,17.9,9.4,27.2,131,127,429
Alexis Sánchez,"FW,MF",Manchester Utd,20,9,880,9.8,1,3,4,1,0,0,3,0,1.5,1.5,3,4.5,37,50,89
Carlos Sánchez,MF,West Ham,7,2,245,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,14,1
Davinson Sánchez,DF,Tottenham,23,22,1942,21.6,1,1,2,1,0,0,2,0,1.4,1.4,0.4,1.8,5,59,2
Leroy Sané,FW,Manchester City,31,21,1867,20.7,10,10,20,10,0,0,1,0,6.7,6.7,7.4,14.1,84,67,341
Fabian Schär,DF,Newcastle Utd,24,22,1999,22.2,4,1,5,4,0,0,12,0,1.9,1.9,0.7,2.6,26,72,8
Christopher Schindler,DF,Huddersfield,37,37,3260,36.2,1,0,1,1,0,0,5,1,1.1,1.1,0.2,1.3,15,72,5
Jeffrey Schlupp,"MF,FW",Crystal Palace,30,18,1670,18.6,4,1,5,4,0,0,1,0,3.2,3.2,1.2,4.4,35,77,95
Kasper Schmeichel,GK,Leicester City,38,38,3420,38,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,0,2,0
Morgan Schneiderlin,MF,Everton,14,10,834,9.3,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.6,6,47,5
André Schürrle,"FW,MF",Fulham,24,21,1641,18.2,6,0,6,6,0,0,2,0,3.6,3.6,1.9,5.6,46,57,136
Ken Sema,"MF,FW",Watford,17,9,754,8.4,1,2,3,1,0,0,1,0,0.8,0.8,0.6,1.4,30,17,60
Jean Seri,MF,Fulham,32,27,2244,24.9,1,2,3,1,0,0,6,0,0.9,0.9,4.8,5.6,26,164,40
Ryan Sessegnon,"FW,DF",Fulham,35,26,2300,25.6,2,6,8,2,0,0,0,0,4,4,3.8,7.8,57,57,193
Xherdan Shaqiri,"FW,MF",Liverpool,24,11,1064,11.8,6,3,9,6,0,0,2,0,3.9,3.9,1.6,5.5,28,85,75
Luke Shaw,DF,Manchester Utd,29,29,2591,28.8,1,4,5,1,0,0,11,0,1.4,1.4,3.9,5.3,90,158,121
Jonjo Shelvey,MF,Newcastle Utd,16,10,948,10.5,1,1,2,1,0,0,1,0,0.9,0.9,1.7,2.6,13,74,15
Gylfi Sigurðsson,MF,Everton,38,36,3117,34.6,13,6,19,11,2,5,3,0,10.7,6.7,6.9,13.6,51,172,144
Adrien Silva,MF,Leicester City,2,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
