rank,player,nation,position,team,age,born,ninetys,passes_completed,passes_attempted,pass_completion_percentage,total_passing_distance,total_progressive_passing_distance,short_passes_completed,short_passes_attempted,short_pass_completion_percentage,medium_passes_completed,medium_passes_attempted,medium_pass_completion_percentage,long_passes_completed,long_passes_attempted,long_pass_completion_percentage,assists,expected_assisted_goals,expected_assists,assists-expected_assisted_goals,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
325,Jakub Moder,pl POL,"MF,DF",Brighton,24-297,1999,0.8,28,36,77.8,397,123,16,18,88.9,10,14,71.4,1,2,50,0,0.1,0.1,-0.1,1,1,1,0,3
326,Kudus Mohammed,gh GHA,"FW,MF",West Ham,23-180,2000,10.7,274,352,77.8,4754,716,130,151,86.1,105,129,81.4,31,42,73.8,1,1.3,1.5,-0.3,11,15,14,6,37
327,Gonzalo Montiel,ar ARG,DF,Nott'ham Forest,27-028,1997,4.4,161,211,76.3,2595,1039,87,95,91.6,60,81,74.1,11,27,40.7,1,0.4,0.3,0.6,4,18,5,0,18
328,Kieffer Moore,wls WAL,"FW,MF",Bournemouth,31-174,1992,1.2,28,42,66.7,272,91,22,29,75.9,4,8,50,0,0,,0,0.2,0.3,-0.2,2,2,2,0,4
329,Álex Moreno,es ESP,DF,Aston Villa,30-235,1993,4,153,201,76.1,2271,600,87,98,88.8,57,77,74,7,12,58.3,0,0.8,0.8,-0.8,6,3,5,2,8
330,Carlton Morris,eng ENG,FW,Luton Town,28-044,1995,14.1,204,344,59.3,2827,557,125,188,66.5,61,97,62.9,10,16,62.5,2,0.5,0.6,1.5,9,17,8,0,33
331,Mason Mount,eng ENG,MF,Manchester Utd,25-019,1999,4.4,130,163,79.8,1771,570,81,94,86.2,28,36,77.8,9,15,60,0,0.2,0.3,-0.2,5,13,5,1,15
332,Divin Mubama,eng ENG,FW,West Ham,19-096,2004,0.9,16,22,72.7,200,15,12,16,75,2,3,66.7,1,1,100,0,0,0,0,0,0,0,0,0
333,Mykhailo Mudryk,ua UKR,FW,Chelsea,23-024,2001,9,189,283,66.8,2587,818,124,156,79.5,37,65,56.9,14,30,46.7,1,1.8,1.7,-0.8,14,12,12,2,19
334,Rodrigo Muniz,br BRA,FW,Fulham,22-270,2001,3.6,33,56,58.9,369,66,21,32,65.6,8,16,50,0,2,0,0,0.5,0.3,-0.5,6,0,2,0,3
335,Murillo,br BRA,DF,Nott'ham Forest,21-209,2002,14.7,549,701,78.3,11417,4821,183,210,87.1,279,317,88,80,155,51.6,1,0.9,0.3,0.1,4,50,6,0,45
336,Alex Murphy,ie IRL,"FW,DF",Newcastle Utd,19-218,2004,0,4,4,100,81,8,2,2,100,1,1,100,1,1,100,0,0,0,0,0,1,0,0,0
337,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-339,1995,1.3,37,51,72.5,595,238,18,21,85.7,18,26,69.2,1,1,100,3,1.4,0.7,1.6,4,4,4,1,10
338,Vitaliy Mykolenko,ua UKR,DF,Everton,24-245,1999,16,474,641,73.9,7165,3155,274,310,88.4,149,200,74.5,36,86,41.9,0,0.4,0.5,-0.4,5,21,9,5,30
339,Marvelous Nakamba,zw ZIM,MF,Luton Town,30-010,1994,12.6,356,423,84.2,5622,1605,184,203,90.6,126,143,88.1,27,42,64.3,0,0.4,0.5,-0.4,7,27,2,1,36
340,Michael Ndiweni,eng ENG,FW,Newcastle Utd,20-058,2003,0,1,2,50,16,15,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
341,Reiss Nelson,eng ENG,"FW,MF",Arsenal,24-050,1999,1.2,53,62,85.5,796,171,29,30,96.7,17,20,85,5,8,62.5,0,0.5,0.3,-0.5,2,1,3,2,2
342,Neto,br BRA,GK,Bournemouth,34-194,1989,18,386,592,65.2,10985,8102,58,60,96.7,208,215,96.7,119,313,38,0,0,0,0,0,10,0,0,0
343,Pedro Neto,pt POR,"FW,MF",Wolves,23-326,2000,10.9,308,421,73.2,4881,1255,180,206,87.4,87,120,72.5,31,63,49.2,7,3.4,2.8,3.6,28,11,21,8,34
344,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-327,1996,10.9,396,502,78.9,7532,2673,147,157,93.6,201,250,80.4,46,85,54.1,0,0.1,0.2,-0.1,3,21,4,1,27
345,Eddie Nketiah,eng ENG,FW,Arsenal,24-244,1999,10.9,146,184,79.3,2021,215,84,102,82.4,52,59,88.1,3,4,75,2,0.7,0.6,1.3,8,6,4,0,16
346,Christopher Nkunku,fr FRA,"MF,FW",Chelsea,26-076,1997,1.5,44,49,89.8,574,169,30,30,100,9,12,75,1,1,100,0,0.1,0.2,-0.1,1,3,4,0,6
347,Rhys Norrington-Davies,wls WAL,DF,Sheffield Utd,24-282,1999,0.1,11,12,91.7,150,40,7,7,100,4,4,100,0,0,,0,0,0,0,0,1,0,0,1
348,Oliver Norwood,nir NIR,MF,Sheffield Utd,32-292,1991,14.2,552,805,68.6,10681,4144,217,262,82.8,218,273,79.9,96,229,41.9,0,0.6,1,-0.6,15,58,10,2,61
349,Matheus Nunes,pt POR,MF,Wolves,25-155,1998,2,87,106,82.1,1077,279,59,68,86.8,23,26,88.5,2,6,33.3,0,0.1,0.2,-0.1,3,6,1,0,8
350,Matheus Nunes,pt POR,MF,Manchester City,25-155,1998,3.3,160,187,85.6,2192,296,100,108,92.6,44,52,84.6,8,11,72.7,1,0.1,0.2,0.9,1,12,4,0,11
351,Darwin Núñez,uy URU,FW,Liverpool,24-219,1999,13.4,217,305,71.1,3013,659,130,163,79.8,57,81,70.4,15,28,53.6,6,4.4,2.6,1.6,22,17,20,0,37
352,Christian Nørgaard,dk DEN,MF,Brentford,29-325,1994,17.2,778,991,78.5,12657,3937,415,471,88.1,300,375,80,54,107,50.5,1,1.3,1.8,-0.3,15,71,16,2,106
353,Dara O'Shea,ie IRL,DF,Burnley,24-331,1999,16.4,784,980,80,15713,6078,245,290,84.5,444,492,90.2,91,174,52.3,3,1.4,0.5,1.6,8,85,2,1,76
354,Michael Obafemi,ie IRL,"FW,MF",Burnley,23-207,2000,0.2,4,5,80,55,2,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
355,Wilson Odobert,fr FRA,"MF,FW",Burnley,19-062,2004,7.2,120,157,76.4,1505,328,81,94,86.2,35,44,79.5,0,4,0,1,1,1.3,0,11,2,2,0,11
356,Chiedozie Ogbene,ie IRL,"MF,DF",Luton Town,26-273,1997,12.3,273,386,70.7,3661,950,178,202,88.1,71,110,64.5,10,26,38.5,1,2.5,2.5,-1.5,18,7,8,2,21
357,Angelo Ogbonna,it ITA,DF,West Ham,35-251,1988,3.6,78,89,87.6,1521,477,24,25,96,45,46,97.8,7,15,46.7,0,0,0,0,0,4,0,0,3
358,Michael Olakigbe,eng ENG,"DF,FW",Brentford,19-279,2004,0.7,27,40,67.5,347,74,17,20,85,7,10,70,1,5,20,0,0,0,0,0,2,1,0,4
359,Michael Olise,fr FRA,"FW,MF",Crystal Palace,22-048,2001,7.5,276,383,72.1,4554,1418,152,171,88.9,76,104,73.1,35,70,50,1,2.7,2.4,-1.7,20,26,15,3,34
360,Robin Olsen,se SWE,GK,Aston Villa,34-021,1990,1,30,39,76.9,675,414,12,12,100,11,11,100,7,16,43.8,0,0,0,0,0,1,0,0,0
361,Andrew Omobamidele,ie IRL,DF,Nott'ham Forest,21-220,2002,1,25,31,80.6,507,112,6,10,60,18,19,94.7,1,1,100,0,0,0,0,0,1,0,0,1
362,Amadou Onana,be BEL,MF,Everton,22-166,2001,15.6,542,649,83.5,9058,2446,280,313,89.5,187,218,85.8,57,76,75,0,2.4,1,-2.4,11,54,10,1,71
363,André Onana,cm CMR,GK,Manchester Utd,27-302,1996,21,621,817,76,15036,9999,155,156,99.4,315,320,98.4,146,333,43.8,0,0.1,0,-0.1,2,18,2,0,3
364,Ryan One,sct SCO,FW,Sheffield Utd,17-217,2006,0.1,1,1,100,7,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0
365,Tyler Onyango,eng ENG,MF,Everton,20-331,2003,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
366,Frank Onyeka,ng NGA,MF,Brentford,26-028,1998,8.2,221,290,76.2,3443,845,120,136,88.2,82,114,71.9,14,25,56,1,1.6,1.2,-0.6,8,17,7,3,25
367,Divock Origi,be BEL,"FW,MF",Nott'ham Forest,28-286,1995,2,19,28,67.9,230,78,16,20,80,2,4,50,1,1,100,0,0.4,0.2,-0.4,2,0,1,1,2
368,Stefan Ortega,de GER,GK,Manchester City,31-084,1992,1.9,61,86,70.9,1497,1115,14,14,100,32,33,97,15,38,39.5,0,0,0,0,0,1,0,0,0
369,Ben Osborn,eng ENG,"DF,MF",Sheffield Utd,29-177,1994,3.5,108,146,74,1622,598,64,77,83.1,29,38,76.3,9,20,45,0,0.1,0.3,-0.1,3,8,4,3,11
370,Gabriel Osho,eng ENG,DF,Luton Town,25-168,1998,9.6,234,293,79.9,4262,1419,83,93,89.2,140,161,87,11,32,34.4,0,0,0.1,0,0,11,0,0,9
371,William Osula,dk DEN,FW,Sheffield Utd,20-178,2003,6.3,31,68,45.6,364,80,21,43,48.8,3,10,30,2,4,50,0,0.1,0.1,-0.1,1,3,2,1,2
372,Dango Ouattara,bf BFA,"FW,DF",Bournemouth,21-352,2002,5.1,139,210,66.2,2243,589,71,93,76.3,50,71,70.4,13,24,54.2,0,0.5,0.5,-0.5,6,8,4,3,11
373,David Ozoh,eng ENG,MF,Crystal Palace,18-243,2005,1.3,33,35,94.3,475,74,13,14,92.9,18,18,100,0,0,,0,0,0,0,0,2,0,0,2
374,João Palhinha,pt POR,MF,Fulham,28-204,1995,16.6,583,704,82.8,10283,2631,280,311,90,231,255,90.6,59,92,64.1,1,0.2,0.5,0.8,6,50,2,1,48
375,Cole Palmer,eng ENG,MF,Manchester City,21-268,2002,0.1,4,5,80,51,0,2,2,100,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0
376,Cole Palmer,eng ENG,"FW,MF",Chelsea,21-268,2002,13.7,584,719,81.2,9838,2930,292,321,91,212,246,86.2,57,93,61.3,4,5.4,4.3,-1.4,28,68,40,2,101
377,Emerson Palmieri,it ITA,DF,West Ham,29-179,1994,19.5,774,943,82.1,10683,4268,474,522,90.8,236,296,79.7,28,46,60.9,1,2,1.6,-1,14,47,13,6,63
378,Lucas Paquetá,br BRA,"FW,MF",West Ham,26-155,1997,16.8,650,871,74.6,10204,3477,345,408,84.6,216,277,78,58,100,58,5,3.2,2.8,1.8,26,80,24,2,116
379,Ben Parkinson,eng ENG,FW,Newcastle Utd,18-325,2005,0.3,1,3,33.3,15,0,0,1,0,1,2,50,0,0,,0,0,0,0,0,0,0,0,0
380,Thomas Partey,gh GHA,"DF,MF",Arsenal,30-230,1993,2.8,229,252,90.9,3754,1034,115,122,94.3,91,101,90.1,18,23,78.3,0,0.1,0.2,-0.1,3,28,8,2,33
381,Nathan Patterson,sct SCO,DF,Everton,22-105,2001,10.6,363,507,71.6,5709,2624,204,233,87.6,115,169,68,35,82,42.7,2,1.7,1,0.3,8,30,14,6,37
