rank,player,nation,position,team,age,born,ninetys,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_free_kicks,penalties_made,penalties_attempted,expected_goals,non_penalty_expected_goals,non_penalty_expected_goals_per_shot,goals-expected_goals,non_penalty_goals-non_penalty_expected_goals
40,Carlos Baleba,cm CMR,MF,Brighton,20-117,2004,13.5,0,19,5,26.3,1.41,0.37,0,0,24.2,0,0,0,0.8,0.8,0.04,-0.8,-0.8
41,Fodé Ballo-Touré,sn SEN,"DF,MF",Fulham,27-117,1997,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
42,Shandon Baptiste,gd GRN,MF,Brentford,26-021,1998,2.5,1,2,2,100,0.79,0.79,0.5,0.5,6.6,0,0,0,0.9,0.9,0.45,0.1,0.1
43,Valentín Barco,ar ARG,"DF,FW",Brighton,19-281,2004,2,0,2,0,0,0.99,0,0,,26,0,0,0,0,0,0.02,0,0
44,Ross Barkley,eng ENG,MF,Luton Town,30-146,1993,27.7,5,63,18,28.6,2.28,0.65,0.08,0.28,21.7,6,0,0,4,4,0.06,1,1
45,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,26-142,1997,7.5,4,22,9,40.9,2.93,1.2,0.18,0.44,16.9,0,0,0,2.7,2.7,0.12,1.3,1.3
46,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,35-284,1988,3.6,0,2,0,0,0.56,0,0,,10.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
47,Calvin Bassey,ng NGA,DF,Fulham,24-120,1999,22.6,1,5,1,20,0.22,0.04,0.2,1,10.1,0,0,0,0.3,0.3,0.07,0.7,0.7
48,Owen Beck,wls WAL,DF,Liverpool,21-264,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
49,Donny van de Beek,nl NED,DF,Manchester Utd,27-011,1997,0,0,1,0,0,30,0,0,,16.1,0,0,0,0,0,0.04,0,0
50,Amari'i Bell,jm JAM,DF,Luton Town,29-360,1994,19.1,0,2,2,100,0.1,0.1,0,0,18.8,0,0,0,0.3,0.3,0.13,-0.3,-0.3
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,25-307,1998,9,2,14,5,35.7,1.56,0.56,0.14,0.4,17.2,0,0,0,1.4,1.4,0.1,0.6,0.6
52,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,23-044,2001,4.3,0,7,3,42.9,1.64,0.7,0,0,18.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7
53,Saïd Benrahma,dz ALG,"FW,MF",West Ham,28-263,1995,6.9,0,18,5,27.8,2.61,0.73,0,0,19.8,0,0,1,1.8,1,0.06,-1.8,-1
54,Rodrigo Bentancur,uy URU,MF,Tottenham,26-309,1997,8.6,1,12,2,16.7,1.4,0.23,0.08,0.5,15.4,0,0,0,1.2,1.2,0.1,-0.2,-0.2
55,Daniel Bentley,eng ENG,GK,Wolves,30-291,1993,3.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
56,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,33-185,1990,12.4,1,13,5,38.5,1.05,0.4,0.08,0.2,14.8,1,0,0,1.8,1.8,0.14,-0.8,-0.8
