Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Aaron Ramsey,"FW,MF",Burnley,6,2,218,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,6,4,6
Jacob Ramsey,"FW,MF",Aston Villa,2,0,50,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,4,2,0
Marcus Rashford,FW,Manchester Utd,11,11,931,10.3,1,1,2,1,0,0,1,0,3.9,3.9,1.3,5.2,44,31,99
David Raya,GK,Arsenal,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Ream,DF,Fulham,11,11,963,10.7,1,0,1,1,0,0,3,1,1,1,0,1,10,50,2
Nathan Redmond,"MF,FW",Burnley,6,0,93,1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,3,1,14
Harrison Reed,MF,Fulham,11,7,579,6.4,0,1,1,0,0,0,2,0,0,0,0.7,0.7,3,17,24
Sergio Reguilón,DF,Manchester Utd,4,3,258,2.9,0,0,0,0,0,0,1,0,0,0,0.3,0.4,4,13,20
Bobby Reid,FW,Fulham,11,8,609,6.8,2,0,2,2,0,0,1,0,2.6,2.6,0.1,2.7,16,16,32
Declan Rice,MF,Arsenal,12,12,1022,11.4,2,1,3,2,0,0,0,0,0.9,0.9,1.8,2.7,16,79,23
Chris Richards,"DF,MF",Crystal Palace,4,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richarlison,FW,Tottenham,10,7,538,6,1,3,4,1,0,0,2,0,2.7,2.7,1.1,3.8,10,18,56
Jaïro Riedewald,"MF,FW",Crystal Palace,2,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Matt Ritchie,FW,Newcastle Utd,2,0,72,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,3,3
Connor Roberts,DF,Burnley,9,8,734,8.2,0,1,1,0,0,0,4,1,0,0,0.2,0.2,6,37,10
Andrew Robertson,DF,Liverpool,8,8,720,8,1,0,1,1,0,0,1,0,0.5,0.5,1,1.5,19,49,30
Antonee Robinson,DF,Fulham,11,11,990,11,0,1,1,0,0,0,4,0,0.1,0.1,1.3,1.4,33,40,41
Jack Robinson,DF,Sheffield Utd,12,11,1035,11.5,0,1,1,0,0,0,3,0,0.5,0.5,0.3,0.8,1,21,6
Rodri,MF,Manchester City,10,10,820,9.1,3,2,5,3,0,0,4,1,1.2,1.2,1.2,2.4,21,96,17
Jay Rodriguez,FW,Burnley,7,2,297,3.3,0,0,0,0,0,0,0,0,1,1,0,1.1,0,3,10
Mads Roerslev,DF,Brentford,10,4,421,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9,14,24
Cristian Romero,DF,Tottenham,11,11,855,9.5,2,0,2,2,0,0,2,1,0.9,0.9,0.2,1.1,11,60,3
Joe Rothwell,MF,Bournemouth,9,3,362,4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,19,3
Pelly Ruddock Mpanzu,MF,Luton Town,11,5,510,5.7,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.8,6,23,8
José Sá,GK,Wolves,12,12,1080,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bukayo Saka,FW,Arsenal,11,11,944,10.5,4,4,8,2,2,2,1,0,4.2,2.6,2.7,5.4,49,34,137
Mohamed Salah,FW,Liverpool,12,12,1043,11.6,10,4,14,7,3,4,1,0,9.1,5.8,5.3,11,38,55,123
William Saliba,DF,Arsenal,12,12,1080,12,1,1,2,1,0,0,0,0,0.7,0.7,0.1,0.8,4,56,2
Albert Sambi Lokonga,MF,Luton Town,2,2,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,4,2
Davinson Sánchez,DF,Tottenham,1,0,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,0
Robert Sánchez,GK,Chelsea,12,12,1080,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
