Match Number,Round Number,Date,Location,Home Team,Away Team,Result
343,35,21/04/2019 16:00,Cardiff City Stadium,Cardiff,Liverpool,0 - 2
344,35,22/04/2019 20:00,Stamford Bridge,Chelsea,Burnley,2 - 2
308,35,23/04/2019 19:45,Vicarage Road,Watford,Southampton,1 - 1
328,35,23/04/2019 19:45,Tottenham Hotspur Stadium,Spurs,Brighton,1 - 0
310,35,24/04/2019 19:45,Molineux Stadium,Wolves,Arsenal,3 - 1
306,35,24/04/2019 20:00,Old Trafford,Man Utd,Man City,0 - 2
356,36,26/04/2019 20:00,Anfield,Liverpool,Huddersfield,5 - 0
359,36,27/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,West Ham,0 - 1
353,36,27/04/2019 15:00,Selhurst Park,Crystal Palace,Everton,0 - 0
354,36,27/04/2019 15:00,Craven Cottage,Fulham,Cardiff,1 - 0
358,36,27/04/2019 15:00,St. Mary's Stadium,Southampton,Bournemouth,3 - 3
360,36,27/04/2019 15:00,Vicarage Road,Watford,Wolves,1 - 2
351,36,27/04/2019 17:30,Amex Stadium,Brighton,Newcastle,1 - 1
355,36,28/04/2019 12:00,King Power Stadium,Leicester,Arsenal,3 - 0
352,36,28/04/2019 14:05,Turf Moor,Burnley,Man City,0 - 1
357,36,28/04/2019 16:30,Old Trafford,Man Utd,Chelsea,1 - 1
365,37,03/05/2019 20:00,Goodison Park,Everton,Burnley,2 - 0
362,37,04/05/2019 12:30,Vitality Stadium,Bournemouth,Spurs,1 - 0
369,37,04/05/2019 15:00,London Stadium,West Ham,Southampton,3 - 0
370,37,04/05/2019 15:00,Molineux Stadium,Wolves,Fulham,1 - 0
363,37,04/05/2019 17:30,Cardiff City Stadium,Cardiff,Crystal Palace,2 - 3
368,37,04/05/2019 19:45,St. James' Park,Newcastle,Liverpool,2 - 3
364,37,05/05/2019 14:00,Stamford Bridge,Chelsea,Watford,3 - 0
366,37,05/05/2019 14:00,John Smith's Stadium,Huddersfield,Man Utd,1 - 1
361,37,05/05/2019 16:30,Emirates Stadium,Arsenal,Brighton,1 - 1
367,37,06/05/2019 20:00,Etihad Stadium,Man City,Leicester,1 - 0
371,38,12/05/2019 15:00,Amex Stadium,Brighton,Man City,1 - 4
372,38,12/05/2019 15:00,Turf Moor,Burnley,Arsenal,1 - 3
373,38,12/05/2019 15:00,Selhurst Park,Crystal Palace,Bournemouth,5 - 3
374,38,12/05/2019 15:00,Craven Cottage,Fulham,Newcastle,0 - 4
375,38,12/05/2019 15:00,King Power Stadium,Leicester,Chelsea,0 - 0
376,38,12/05/2019 15:00,Anfield,Liverpool,Wolves,2 - 0
377,38,12/05/2019 15:00,Old Trafford,Man Utd,Cardiff,0 - 2
378,38,12/05/2019 15:00,St. Mary's Stadium,Southampton,Huddersfield,1 - 1
379,38,12/05/2019 15:00,Tottenham Hotspur Stadium,Spurs,Everton,2 - 2
380,38,12/05/2019 15:00,Vicarage Road,Watford,West Ham,1 - 4
